,Province_State,Country_Region,Lat,Long,Date,Confirmed,Recovered,Deaths,geometry
18467,Hainan,China,19.1959,109.7453,4/1/20,168,441.0,6,POINT (109.7453 19.1959)
18468,Hebei,China,39.549,116.1306,4/1/20,323,570.0,6,POINT (116.1306 39.549)
18469,Heilongjiang,China,47.861999999999995,127.7615,4/1/20,484,303.0,13,POINT (127.7615 47.86199999999999)
18470,Henan,China,33.882,113.61399999999999,4/1/20,1276,131.0,22,POINT (113.614 33.882)
18471,Hong Kong,China,22.3,114.2,4/1/20,765,1387.0,4,POINT (114.2 22.3)
18472,Hubei,China,30.9756,112.2707,4/1/20,67802,252.0,3193,POINT (112.2707 30.9756)
18473,Hunan,China,27.6104,111.7088,4/1/20,1018,144.0,4,POINT (111.7088 27.6104)
18474,Inner Mongolia,China,44.0935,113.9448,4/1/20,111,162.0,1,POINT (113.9448 44.0935)
18475,Jiangsu,China,32.9711,119.455,4/1/20,646,310.0,0,POINT (119.455 32.9711)
18476,Jiangxi,China,27.614,115.7221,4/1/20,937,469.0,1,POINT (115.7221 27.614)
18477,Jilin,China,43.6661,126.1923,4/1/20,98,1251.0,1,POINT (126.1923 43.6661)
18478,Liaoning,China,41.2956,122.6085,4/1/20,140,206.0,2,POINT (122.6085 41.2956)
18479,Macau,China,22.1667,113.55,4/1/20,41,63945.0,0,POINT (113.55 22.1667)
18480,Ningxia,China,37.2692,106.1655,4/1/20,75,1014.0,0,POINT (106.1655 37.2692)
18481,Qinghai,China,35.7452,95.9956,4/1/20,18,74.0,0,POINT (95.9956 35.7452)
18482,Shaanxi,China,35.1917,108.8701,4/1/20,255,633.0,3,POINT (108.8701 35.1917)
18483,Shandong,China,36.3427,118.1498,4/1/20,774,935.0,7,POINT (118.1498 36.3427)
18484,Shanghai,China,31.201999999999998,121.4491,4/1/20,516,92.0,6,POINT (121.4491 31.202)
18485,Shanxi,China,37.5777,112.2922,4/1/20,137,126.0,0,POINT (112.2922 37.5777)
18486,Sichuan,China,30.6171,102.7103,4/1/20,552,10.0,3,POINT (102.7103 30.6171)
18487,Tianjin,China,39.3054,117.323,4/1/20,176,75.0,3,POINT (117.323 39.3054)
18488,Tibet,China,31.6927,88.0924,4/1/20,1,18.0,0,POINT (88.0924 31.6927)
18489,Xinjiang,China,41.1129,85.2401,4/1/20,76,245.0,3,POINT (85.2401 41.1129)
18490,Yunnan,China,24.974,101.48700000000001,4/1/20,182,755.0,2,POINT (101.487 24.974)
18491,Zhejiang,China,29.1832,120.0934,4/1/20,1257,383.0,1,POINT (120.0934 29.1832)
18492,,Colombia,4.5709,-74.2973,4/1/20,1065,133.0,17,POINT (-74.29730000000001 4.5709)
18493,,Congo (Brazzaville),-4.0383,21.7587,4/1/20,19,539.0,0,POINT (21.7587 -4.0383)
18494,,Congo (Kinshasa),-4.0383,21.7587,4/1/20,109,144.0,9,POINT (21.7587 -4.0383)
18495,,Costa Rica,9.7489,-83.7534,4/1/20,375,1.0,2,POINT (-83.7534 9.748900000000001)
18496,,Cote d'Ivoire,7.54,-5.5471,4/1/20,190,73.0,1,POINT (-5.5471 7.54)
18497,,Croatia,45.1,15.2,4/1/20,963,172.0,6,POINT (15.2 45.1)
18498,,Diamond Princess,0.0,0.0,4/1/20,712,1230.0,11,POINT (0 0)
18499,,Cuba,22.0,-80.0,4/1/20,212,88.0,6,POINT (-80 22)
18500,,Cyprus,35.1264,33.4299,4/1/20,320,2.0,9,POINT (33.4299 35.1264)
18501,,Czechia,49.8175,15.472999999999999,4/1/20,3508,3.0,39,POINT (15.473 49.8175)
18502,Faroe Islands,Denmark,61.8926,-6.9118,4/1/20,173,16.0,0,POINT (-6.9118 61.8926)
18503,Greenland,Denmark,71.7069,-42.6043,4/1/20,10,37.0,0,POINT (-42.6043 71.7069)
18504,,Denmark,56.2639,9.5018,4/1/20,3107,125.0,104,POINT (9.501799999999999 56.2639)
18505,,Djibouti,11.8251,42.5903,4/1/20,33,619.0,0,POINT (42.5903 11.8251)
